CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle
8081803-4916,Shoes,Sneakers and Athletic Shoes,Flat,Textile,Lace up,Women,Suede,Round Toe;Closed Toe
7974194-376476,Shoes,Sneakers and Athletic Shoes,,Padded;Polyurethane,Lace up,Men,Leather;Suede,
8000894-157024,Shoes,Heels,2in - 2 3/4in,Leather,Slip-On,Women,Patent Leather,Almond;Closed Toe
8055428-381376,Boots,Ankle,3in - 3 3/4in,Leather,Zipper,Women,Leather,Almond
8081407-393084,Sandals,Flat,Under 1in,,Hook and Loop,Women,Faux Leather,Open Toe
7664189-245064,Shoes,Sneakers and Athletic Shoes,,Padded,Elastic Gore;Slip-On,Men,Suede,Moc Toe
7919943-35867,Shoes,Sneakers and Athletic Shoes,,Removable,Hook and Loop;Lace up,Boys,Mesh;Nylon;Synthetic,Bump Toe
7840922-346,Sandals,Flat,2in - 2 3/4in,Padded,Slip-On,Women,,Open Toe
8040024-167702,Shoes,Flats,Under 1in,Leather,Hook and Loop,Girls,Patent Leather,Round Toe;Closed Toe
7940932-275,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Men,Canvas;Rubber;Suede,
7969348-911,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Synthetic,
8114625-552,Sandals,Flat,2in - 2 3/4in,Leather;Padded,Slip-On,Women,Leather,Open Toe
7904482-3893,Sandals,Flat,4in - 4 3/4in,Leather,Ankle Strap;Zipper,Women,Leather,Open Toe
7892544-350415,Shoes,Prewalker,,,Hook and Loop,Girls,Leather,
7539915-55678,Sandals,Flat,,,Slip-On,Men,Rubber,Open Toe
8018434-369180,Shoes,Heels,1in - 1 3/4in,Leather,Slip-On,Women,Hair Calf,Pointed Toe;Closed Toe
8019794-390118,Shoes,Flats,Under 1in,Orthotic Friendly;Removable,Slip-On,Women,Leather,Round Toe;Closed Toe
7575253-158,Slippers,Slipper Flats,,Padded,Slip-On,Women,Suede,Moc Toe
7679212-351014,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men;Women,Leather;Rubber;Synthetic,
8057860-20,Shoes,Loafers,,EVA,Slip-On,Men,Suede,Moc Toe
8036378-236071,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Lace,Round Toe;Closed Toe
8140605-1151,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Women,Leather,Round Toe;Closed Toe
7923142-32619,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Canvas;Suede,
8046243-3,Shoes,Oxfords,Under 1in,Padded,Lace up,Women,Patent Leather,Round Toe;Closed Toe
7881400-337532,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,
7793109-287272,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Canvas;Lace;Mesh;Rubber,Round Toe
8054016-3,Slippers,Slipper Flats,,,Bungee;Slip-On,Boys;Girls,Nylon,Round Toe;Closed Toe
8064033-3,Shoes,Flats,Flat,Leather,Slip-On,Women,Canvas,Closed Toe
8025508-3,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather,
8003912-432,Boots,Mid-Calf,1in - 1 3/4in,Padded,Pull-on,Boys,Leather,Square Toe
7661326-366132,Shoes,Boat Shoes,Flat,Removable;Textile,Slip-On,Girls,Leather,Moc Toe;Round Toe;Closed Toe
8012714-6,Boots,Mid-Calf,1in - 1 3/4in,,Pull-on,Women,Synthetic,Round Toe;Closed Toe
8115509-711,Shoes,Flats,Flat,,Slip-On,Women,Canvas,Round Toe;Closed Toe
7896799-363873,Shoes,Sneakers and Athletic Shoes,,Removable;Textile,Hook and Loop,Boys,Leather,Round Toe
7149932-2068,Slippers,Slipper Flats,Flat,Memory Foam;Moisture Wicking;Padded,Slip-On,Women,Terry,Open Toe
8024422-6,Boots,Ankle,Flat,Leather,Zipper,Girls,Leather,Round Toe;Closed Toe
8088702-1072,Shoes,Heels,4in - 4 3/4in,Padded,Buckle,Women,Leather;Suede,Peep Toe
7622094-229709,Sandals,Flat,2in - 2 3/4in,Leather;Moisture Wicking;Padded,Elastic Gore;Slip-On,Women,Leather;Patent Leather,Almond;Round Toe
7969413-379813,Shoes,Oxfords,,Memory Foam;Padded;Removable,Lace up,Men,Leather,Round Toe;Closed Toe
8076359-391239,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Hook and Loop,Girls,Synthetic,Round Toe;Closed Toe
8055275-381318,Boots,Knee High,2in - 2 3/4in,,Pull-on,Women,Leather,Round Toe;Closed Toe
7874747-6,Boots,Mid-Calf,1in - 1 3/4in,Removable,Pull-on,Men,Leather;Nylon;Rubber,Round Toe
7976172-170097,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,
8073986-390167,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Synthetic,
7714125-53513,Shoes,Heels,2in - 2 3/4in,Padded,Buckle,Women,Suede,Pointed Toe;Closed Toe
8058362-158,Shoes,Sneakers and Athletic Shoes,,Textile,Lace up,Women,Canvas,Closed Toe
113569-2911,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Full-grain leather,
7641819-32993,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas,
8140605-271674,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Women,Leather,Round Toe;Closed Toe
7333155-6865,Boots,Mid-Calf,,,Lace up,Men,,
8031940-3,Boots,Ankle,Flat,Padded;Textile,Hook and Loop,Boys,Leather,Bump Toe
8039415-3,Shoes,Heels,3in - 3 3/4in,Leather;Padded,Slip-On,Women,Suede,Almond;Closed Toe
7718986-24552,Shoes,Flats,,Memory Foam;Removable,Slip-On,Women,Canvas;Leather;Rubber,Bump Toe
7843255-95658,Boots,Ankle,,Moisture Wicking;Padded;Removable,Lace up,Men,Leather,Round Toe;Closed Toe
7996708-47756,Boots,Ankle,1in - 1 3/4in,Padded;Polyurethane;Textile,Lace up,Men,Suede,Round Toe;Closed Toe
8042667-151,Shoes,Heels,4in - 4 3/4in,Leather;Padded,Slip-On,Women,Suede,Pointed Toe
7750828-3,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Leather;Rubber;Synthetic,Bump Toe
8002083-106,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Suede,Pointed Toe;Closed Toe
8103315-687,Shoes,Loafers,Flat,Leather,Elastic Gore;Slip-On,Men,Leather;Synthetic,
8000947-71983,Shoes,Heels,1in - 1 3/4in,Leather,Slip-On,Women,Leather,Capped Toe;Closed Toe
8047835-10623,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Women,Mesh;Synthetic,Wide Toe Box
8100179-500,Shoes,Loafers,Flat,,Slip-On,Men,Suede,Moc Toe;Round Toe;Closed Toe
8080597-3,Shoes,Heels,4in - 4 3/4in,,Buckle;Ankle Strap,Women,Suede,Open Toe
8061316-383828,Shoes,Oxfords,1in - 1 3/4in,Leather;Padded,Lace up,Women,,Round Toe
7822343-7294,Boots,Mid-Calf,1in - 1 3/4in,Padded,Zipper,Women,Synthetic,Round Toe;Closed Toe
7984353-358758,Boots,Ankle,3in - 3 3/4in,Padded,Zipper,Women,Full-grain leather,Round Toe;Closed Toe
8058417-24132,Shoes,Heels,5in & over,,Slip-On,Women,Leather,Almond;Closed Toe
7892493-106,Sandals,Flat,1in - 1 3/4in,Moisture Wicking;Padded,Buckle,Women,Suede,Open Toe
8020141-124621,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Boys,Leather,
7186604-75155,Shoes,Oxfords,,Leather;Padded,Lace up,Boys,Nubuck,Round Toe
7977300-5190,Shoes,Flats,Under 1in,Leather,Slip-On,Women,Leather,Snub Toe
7729828-158,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Mesh;Synthetic,
7996729-3,Boots,Over the Knee,2in - 2 3/4in,Padded;Polyurethane,Zipper,Women,Full-grain leather,Almond
8039262-9,Shoes,Heels,1in - 1 3/4in,,Slip-On,Women,Leather,Snub Toe
8030299-200,Boots,Mid-Calf,,,Lace up;Zipper,Women,Faux Leather,Capped Toe
7896149-328368,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Men,Canvas;Rubber,
7593637-3,Sandals,Flat,,EVA,Hook and Loop,Men,Synthetic,Open Toe
8020664-8871,Shoes,Heels,4in - 4 3/4in,,Slip-On,Women,Faux Leather,Almond;Closed Toe
7986876-398846,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Suede,Round Toe;Closed Toe
7299255-3,Slippers,Slipper Flats,,,Slip-On,Men,Velour,Round Toe;Closed Toe
8043482-3,Sandals,Flat,5in & over,Padded,Buckle;Ankle Strap,Women,Suede,Open Toe
7860416-375846,Shoes,Firstwalker,,Padded,Slip-On,Girls,,Closed Toe
7808659-338940,Shoes,Flats,,Leather;Padded,Slip-On,Girls,Leather,Moc Toe;Round Toe;Closed Toe
7892479-3,Sandals,Flat,,Polyurethane,Slip-On,Women,Polyester;Rubber,
7601579-51,Shoes,Oxfords,Flat,EVA;Leather;Moisture Wicking;Padded;Removable,Lace up,Men,Leather;Nubuck;Rubber;EVA,Round Toe
7757463-1066,Shoes,Sneakers and Athletic Shoes,,Gel,Lace up,Men,Mesh;Synthetic,Round Toe
7539908-401,Sandals,Flat,,,Slip-On,Men,Rubber,
7929805-339632,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable;Textile,Hook and Loop,Boys;Girls,Mesh;Nylon;Suede,Round Toe
8014425-585,Shoes,Flats,Flat,Padded,Slip-On,Women,,Round Toe;Closed Toe
7189716-247329,Shoes,Flats,1in - 1 3/4in,Leather;Memory Foam;Moisture Wicking;Padded;Removable,Hook and Loop,Women,Leather,Round Toe
8060774-383618,Shoes,Heels,2in - 2 3/4in,Padded,Slip-On,Women,Satin,Peep Toe
8039282-3,Shoes,Loafers,1in - 1 3/4in,Leather,Elastic Gore;Slip-On,Men,Leather,Round Toe;Closed Toe
8059886-383031,Sandals,Flat,Flat,,Slip-On,Men,Synthetic,Open Toe
7908191-68582,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Men,Leather;Mesh,Round Toe
114829-72,Shoes,Oxfords,,Leather;Padded;Removable,Lace up,Men,Hair Calf;Leather,Capped Toe
8069915-388110,Shoes,Loafers,Under 1in,,Slip-On,Women,Synthetic,Round Toe;Closed Toe
7852390-275756,Boots,Ankle,,EVA;Leather;Padded,Lace up,Men,Lace;Leather;Mesh,
7973618-354197,Shoes,Firstwalker,,EVA;Removable,Hook and Loop,Girls,Suede,
8042524-4854,Shoes,Clogs and Mules,1in - 1 3/4in,Padded;Removable;Textile,Slip-On,Women,Suede,Center Seam;Round Toe;Closed Toe
8024402-1072,Shoes,Heels,3in - 3 3/4in,Leather,Slip-On,Women,Patent Leather;Suede,Square Toe;Closed Toe
109117-183417,Sandals,Flat,,,,Women,,
7992296-409,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Rubber,
8003986-5291,Boots,Ankle,1in - 1 3/4in,Leather,Zipper,Men,Leather,Round Toe;Closed Toe
7419064-216,Shoes,Flats,,Padded;Textile,Hook and Loop,Girls,Leather,Round Toe
8015917-368351,Boots,Knee High,3in - 3 3/4in,Padded,Zipper,Women,Faux Leather,Pointed Toe;Closed Toe
8050326-29103,Shoes,Sneakers and Athletic Shoes,Flat,Textile,Lace up,Men,Leather,Round Toe
7963149-106518,Boots,Ankle,,EVA;Moisture Wicking;Padded;Removable,Pull-on,Girls,Felt,Round Toe;Closed Toe
8000936-53513,Shoes,Heels,4in - 4 3/4in,Leather,Slip-On,Women,Suede,Round Toe;Closed Toe
8070122-388237,Boots,Mid-Calf,1in - 1 3/4in,Padded;Textile,Elastic Gore;Pull-on,Boys;Girls,Nylon;Rubber;EVA,
8047415-401,Boots,Ankle,1in - 1 3/4in,,Zipper,Women,Leather,Round Toe;Closed Toe
8025331-401,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Women,Mesh;Suede;Synthetic,
8004232-3,Boots,Ankle,1in - 1 3/4in,Padded,Pull-on,Men,Leather,Round Toe;Closed Toe
8014609-96747,Shoes,Sneakers and Athletic Shoes,,Textile,Lace up,Girls,,Capped Toe;Round Toe;Closed Toe
8023453-594,Sandals,Flat,4in - 4 3/4in,Synthetic Leather,Buckle;Ankle Strap,Women,Suede,Open Toe
8025665-1388,Shoes,Clogs and Mules,1in - 1 3/4in,Latex Lined;Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
7904204-390846,Shoes,Heels,3in - 3 3/4in,,Buckle;Ankle Strap,Women,Suede,Almond;Closed Toe
8003887-585,Boots,Mid-Calf,1in - 1 3/4in,Padded,Pull-on,Boys;Girls,Leather,Snip Toe;Closed Toe
8013461-367424,Shoes,Flats,Flat,Leather;Textile,Slip-On,Women,Leather;Rubber,
8029570-9,Shoes,Boat Shoes,,Leather;Padded,Hook and Loop,Boys,Leather,Moc Toe;Round Toe;Closed Toe
8004664-189,Shoes,Heels,2in - 2 3/4in,Leather;Padded,Slip-On,Women,Patent Leather;Suede,Almond;Capped Toe;Closed Toe
8037913-106,Shoes,Heels,4in - 4 3/4in,Padded,Slip-On,Women,Suede,Pointed Toe;Closed Toe
7987721-359781,Boots,Ankle,Flat,Padded,Lace up,Men,Leather,
7999215-3,Boots,Mid-Calf,1in - 1 3/4in,Padded,Buckle,Women,Leather;Nylon,
8109331-3,Shoes,Heels,3in - 3 3/4in,,Buckle,Women,Synthetic,Round Toe;Closed Toe
7423517-110,Shoes,Loafers,,Gel;Padded,Hook and Loop;Slip-On,Men,Leather,Moc Toe
8106638-3,Shoes,Heels,4in - 4 3/4in,Leather,Slip-On,Women,Leather,Peep Toe
7938825-374762,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Textile,Lace up,Men,Canvas,
8127177-106,Shoes,Heels,2in - 2 3/4in,,Buckle;Ankle Strap,Women,Suede,Almond
8019221-764,Boots,Mid-Calf,1in - 1 3/4in,,Pull-on,Girls,Rubber,Round Toe
7890060-325327,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Women,Leather;Suede,Snip Toe;Closed Toe
7545838-235782,Boots,Ankle,,Padded,Bungee;Toggle,Men,Rubber;Ripstop,Closed Toe
7561875-386418,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,
8003654-256519,Boots,Mid-Calf,2in - 2 3/4in,Leather;Padded,Pull-on,Women,Leather,Round Toe;Closed Toe
7640366-19390,Shoes,Heels,3in - 3 3/4in,,Buckle,Women,Faux Leather;Synthetic,Round Toe;Closed Toe
8002390-364579,Shoes,Flats,Under 1in,Latex Lined;Orthotic Friendly;Padded;Removable,Hook and Loop,Women,Leather,Round Toe;Closed Toe
8023623-147,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Boys;Girls,Mesh;Synthetic,
8005854-4774,Shoes,Flats,,Padded,Slip-On,Women,Leather,Round Toe
7785329-3,Sandals,Flat,,,Slip-On,Women,Leather,Open Toe
7709401-358774,Shoes,Flats,Flat,Leather,Slip-On,Girls,Leather,Round Toe
8071484-389047,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Canvas,
7452246-4006,Boots,Mid-Calf,,,Pull-on;Toggle,Boys,Nylon,
7968373-580,Boots,Mid-Calf,Under 1in,Moisture Wicking,Pull-on,Boys,Sheepskin,Round Toe;Closed Toe
8054286-217514,Boots,Knee High,1in - 1 3/4in,Leather,Zipper,Women,Leather,Round Toe;Closed Toe
7972233-9448,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Full-grain leather,Round Toe
8019428-78383,Shoes,Loafers,,EVA;Padded;Removable,Slip-On,Men,Leather,Round Toe;Closed Toe
7706943-742,Shoes,Sneakers and Athletic Shoes,,EVA;Moisture Wicking;Padded,Lace up,Women,Faux Leather,
7808659-278,Shoes,Flats,,Leather;Padded,Slip-On,Girls,Leather,Moc Toe;Round Toe;Closed Toe
7888451-108063,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Mesh;Synthetic,
8025627-74095,Boots,Ankle,Flat,Padded;Textile,Lace up,Boys;Girls,Nylon;Synthetic,
7880665-184651,Shoes,Sneakers and Athletic Shoes,,Leather;Padded,Lace up,Men,Full-grain leather;Leather;Rubber,Round Toe;Closed Toe
7177403-401,Shoes,Clogs and Mules,2in - 2 3/4in,Leather;Padded,Slip-On,Women,Leather,
7896041-264880,Shoes,Sneakers and Athletic Shoes,,Removable,Lace up,Men,Mesh;Rubber;Synthetic,
8018964-72,Sandals,Flat,2in - 2 3/4in,Padded,Buckle,Women,Leather,Open Toe
7669761-184651,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Elastic Gore;Zipper,Women,Leather,Round Toe;Closed Toe
7925919-935,Shoes,Loafers,Under 1in,Leather;Padded,Slip-On,Girls,Leather,Moc Toe;Closed Toe
7970241-247343,Shoes,Heels,3in - 3 3/4in,Leather;Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
107213-278,Boots,Mid-Calf,,Padded,Pull-on,Men,Sheepskin,Round Toe
7925904-934,Shoes,Flats,Under 1in,Leather;Padded,Hook and Loop,Girls,Patent Leather;Synthetic,Moc Toe;Closed Toe
8016012-8038,Shoes,Flats,,Leather;Padded,Hook and Loop,Girls,Leather,Round Toe;Closed Toe
7419519-278,Slippers,Slipper Flats,,Moisture Wicking;Padded,Slip-On,Women,Leather;Sheepskin;Suede,Center Seam;Round Toe
7563151-164450,Boots,Knee High,2in - 2 3/4in,Moisture Wicking;Padded,Elastic Gore;Zipper,Women,Leather;Suede,Round Toe
7520172-3,Boots,Ankle,,Padded;Removable,Lace up;Zipper,Men,Leather;Nylon;Rubber,Round Toe
7831136-1334,Shoes,Flats,,Padded;Textile,Hook and Loop,Girls,Leather;Synthetic,Round Toe;Closed Toe
7970788-352708,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Women,Leather,Square Toe;Closed Toe
7982978-18,Boots,Ankle,,Padded,Zipper,Women,Full-grain leather,Capped Toe;Closed Toe
7168495-3940,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Canvas,Round Toe
8014067-11,Shoes,Heels,5in & over,Padded;Synthetic Leather,Slip-On,Women,Suede;Synthetic,Round Toe;Closed Toe
8007507-365789,Boots,Ankle,1in - 1 3/4in,Padded;Removable,Elastic Gore;Zipper,Women,Leather,Round Toe;Closed Toe
7727996-1066,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Synthetic,Round Toe
7987558-3,Boots,Mid-Calf,1in - 1 3/4in,Moisture Wicking,Zipper,Girls,Leather,Round Toe;Closed Toe
7996728-987,Shoes,Oxfords,,Padded;Polyurethane;Removable,Lace up,Men,Leather,Round Toe;Closed Toe
7724767-378698,Sandals,Flat,,EVA,Ankle Strap;Hook and Loop,Men,Nylon,Open Toe
7894528-59083,Sandals,Flat,2in - 2 3/4in,Padded,Buckle,Women,Full-grain leather,Open Toe
7445184-8583,Shoes,Flats,Under 1in,Leather,Buckle,Girls,Patent Leather,
7970439-352765,Boots,Knee High,3in - 3 3/4in,Leather;Padded,Pull-on,Women,Leather,Round Toe;Closed Toe
120072-2919,Shoes,Oxfords,,,Lace up,Women,,Round Toe
7861640-20,Boots,Ankle,,,Zipper,Men,Leather,Square Toe
8084060-184651,Sandals,Flat,1in - 1 3/4in,,Buckle;Ankle Strap,Women,Leather,Open Toe
7291068-9,Boots,Ankle,,Padded,Toggle,Boys,Nylon,
7982310-40389,Boots,Ankle,1in - 1 3/4in,Leather;Removable,Lace up,Men,Full-grain leather,Round Toe;Closed Toe
8017973-369100,Boots,Mid-Calf,Flat,,Zipper,Girls,Synthetic,
7276799-3,Boots,Mid-Calf,2in - 2 3/4in,Leather;Padded,Pull-on,Women,Leather;Rubber,Almond;Pointed Toe;Closed Toe
8075667-11,Sandals,Flat,2in - 2 3/4in,,Slip-On,Women,Canvas,Open Toe
7697149-160942,Shoes,Loafers,,Padded,Slip-On,Women,Leather;Rubber;Shearling,Moc Toe;Round Toe;Closed Toe
8008028-325,Boots,Mid-Calf,1in - 1 3/4in,Padded,Pull-on;Toggle,Women,Suede,
7923815-143384,Boots,Ankle,1in - 1 3/4in,Removable,Lace up,Women,Leather;Mesh,Round Toe
8032663-24326,Boots,Ankle,,,Lace up,Girls,Suede,Round Toe;Closed Toe
8015076-3,Boots,Knee High,2in - 2 3/4in,Padded,Pull-on,Women,Leather;Synthetic,Round Toe;Closed Toe
8004449-12019,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather,
7828910-89,Shoes,Heels,2in - 2 3/4in,Gel;Leather;Padded,Slip-On,Women,Leather,Square Toe;Closed Toe
7978162-396,Shoes,Flats,Under 1in,Leather;Moisture Wicking,Slip-On,Women,Leather,Round Toe;Closed Toe
7973881-9,Shoes,Heels,2in - 2 3/4in,Padded,Slip-On,Women,Leather;Satin,Peep Toe;Round Toe
7532985-6008,Shoes,Oxfords,,Moisture Wicking;Padded,Lace up,Men,Full-grain leather,Bicycle Toe;Round Toe
8053947-380780,Boots,Mid-Calf,1in - 1 3/4in,,Bungee,Boys,Microfiber;Nylon,Round Toe;Closed Toe
8025604-371495,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Capped Toe;Closed Toe
7996382-72,Boots,Ankle,2in - 2 3/4in,Memory Foam;Moisture Wicking;Padded,Zipper,Women,Leather,Round Toe;Closed Toe
7902224-864,Shoes,Flats,,Padded;Textile,Hook and Loop,Girls,Canvas;Cotton;Synthetic,Round Toe;Closed Toe
7979454-356935,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Synthetic,
8066136-20,Shoes,Sneakers and Athletic Shoes,,EVA,Slip-On,Girls,,Moc Toe
8064992-7778,Shoes,Sneakers and Athletic Shoes,Flat,,Lace up,Men,Nubuck;Synthetic,Closed Toe
8020665-50996,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Suede,Almond;Closed Toe
7502052-325,Sandals,Flat,,EVA,Slip-On,Men,Canvas;Suede,
8029594-9,Shoes,Firstwalker,,Leather,Hook and Loop,Girls,Leather,Round Toe;Wingtip;Closed Toe
8004653-72,Boots,Knee High,2in - 2 3/4in,Padded,Zipper,Women,Leather,Round Toe;Closed Toe
8054542-105,Boots,Knee High,4in - 4 3/4in,,Zipper,Women,Faux Leather,Round Toe;Closed Toe
7839363-359,Boots,Knee High,2in - 2 3/4in,Moisture Wicking,Zipper,Women,Sheepskin;Suede,Round Toe;Closed Toe
7895807-25355,Sandals,Flat,1in - 1 3/4in,Moisture Wicking;Padded,Slip-On,Women,Leather,Open Toe
8008234-106,Shoes,Flats,Under 1in,Leather,Slip-On,Women,Suede,Almond;Capped Toe;Closed Toe
7567392-84,Shoes,Oxfords,,Orthotic Friendly;Padded;Removable,Lace up,Women,Leather;Nubuck,Round Toe
7654814-3,Shoes,Loafers,,EVA;Removable,Slip-On,Women,Leather,
8082275-393486,Shoes,Heels,5in & over,,Slip-On,Women,,Peep Toe
8057889-28115,Shoes,Loafers,Flat,EVA,Slip-On,Men,,Moc Toe
8120217-9450,Shoes,Heels,4in - 4 3/4in,,Buckle;Ankle Strap,Women,Faux Leather,Open Toe
7864620-351043,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,
8078851-3,Shoes,Flats,1in - 1 3/4in,Padded,Hook and Loop;Slip-On,Women,Synthetic,Round Toe
7309722-35042,Boots,Ankle,1in - 1 3/4in,EVA;Polyurethane;Removable,Lace up,Men,Full-grain leather;Leather;Rubber,Round Toe
7990536-325,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Buckle;Zipper,Women,Leather,Round Toe;Closed Toe
7834336-306180,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Medallion;Round Toe;Wingtip;Closed Toe
7529925-90,Shoes,Flats,,Leather,Hook and Loop,Girls,Leather,
7798031-973,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Synthetic,Pointed Toe;Closed Toe
8013225-209380,Shoes,Heels,2in - 2 3/4in,,Slip-On,Women,Leather;Nappa,Round Toe;Closed Toe
7289703-36888,Shoes,Loafers,,Padded,,Women,Leather;Suede,Square Toe
7853582-324342,Shoes,Sneakers and Athletic Shoes,,Leather;Padded,,Women,Synthetic,
7568713-60,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Moc Toe
8049101-89,Sandals,Flat,5in & over,,Buckle,Women,Patent Leather,Peep Toe
8018145-423,Boots,Knee High,2in - 2 3/4in,Leather,Zipper,Women,Leather,Round Toe;Closed Toe
7996932-263,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Full-grain leather,Round Toe;Closed Toe
8089878-20,Sandals,Flat,,Gel,Slip-On,Women,Synthetic,Open Toe
7681096-205560,Boots,Mid-Calf,1in - 1 3/4in,EVA;Moisture Wicking;Padded;Removable,Pull-on,Women,Synthetic,
7990672-2078,Shoes,Heels,5in & over,Leather;Padded,Ankle Strap,Women,Leather;Suede,
7972602-742,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Rubber,
8077794-1334,Shoes,Loafers,,Leather;Padded,Slip-On,Girls,Suede,Moc Toe;Round Toe;Closed Toe
8019985-6,Boots,Mid-Calf,2in - 2 3/4in,Padded,Pull-on,Women,Faux Leather;Rubber,Pointed Toe;Closed Toe
7969864-8769,Shoes,Sneakers and Athletic Shoes,,EVA;Moisture Wicking;Padded,Lace up,Men,Mesh;Synthetic,
7770827-282832,Shoes,Loafers,,Leather;Orthotic Friendly;Removable,Slip-On,Men,Full-grain leather,Round Toe
8008017-263,Shoes,Clogs and Mules,2in - 2 3/4in,Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
7453966-401,Slippers,Slipper Flats,,EVA;Textile,Slip-On,Men,Synthetic,
7796528-292073,Shoes,Boat Shoes,,EVA;Padded,Slip-On,Women,Leather,Moc Toe
7996521-362947,Boots,Ankle,3in - 3 3/4in,Memory Foam;Padded,Zipper,Women,Suede,Round Toe;Closed Toe
7734071-165791,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Elastic Gore;Slip-On,Men;Women,Canvas;Rubber,
7720129-289865,Boots,Mid-Calf,2in - 2 3/4in,Leather;Padded,Pull-on,Women,Leather,Round Toe;Closed Toe
8020059-6,Boots,Mid-Calf,1in - 1 3/4in,Padded,Pull-on,Women,Leather,Square Toe;Closed Toe
8006801-365654,Boots,Ankle,Flat,Padded;Textile,Lace up,Boys,Leather,Round Toe;Closed Toe
7947533-535,Sandals,Flat,Under 1in,Padded,Buckle,Women,Synthetic,Open Toe
7803849-389004,Shoes,Sneakers and Athletic Shoes,,,Elastic Gore;Slip-On,Boys,Canvas,
7761463-585,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Suede,Round Toe;Closed Toe
7968674-302454,Shoes,Sneakers and Athletic Shoes,,Gel;Padded,Lace up,Girls,Faux Leather;Mesh;Synthetic,
7792157-352758,Boots,Mid-Calf,2in - 2 3/4in,Padded,Pull-on,Women,Leather;Rubber,Round Toe;Closed Toe
7864591-350933,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded;Removable,Lace up,Women,Microfiber;Mesh;Synthetic,
7654698-316,Boots,Mid-Calf,,Padded;Removable,Lace up,Men,Canvas;Felt;Leather;Rubber,
7284429-21528,Shoes,Oxfords,,Padded,Buckle,Boys,Nubuck,Round Toe
